ownername,car_no,dealername,ownercity,model,price_in_usd
Chris Taylor,BMW2380,AutoNation,San Antonio,BMW X3,66760.81
Laura Jones,BMW5824,CarMax,New York,BMW X5,91074.73
Michael Wilson,BMW3163,AutoNation,Houston,BMW Z4,60931.85
Jane Williams,BMW9527,Lithia Motors,Philadelphia,BMW 5 Series,84226.84
Chris Jones,BMW5954,Penske Automotive,San Antonio,BMW X1,61232.24
Sarah Miller,BMW5965,Lithia Motors,Houston,BMW 5 Series,96953.31
Laura Brown,BMW8374,Penske Automotive,Chicago,BMW X5,37138.3
Chris Miller,BMW6815,Group 1 Automotive,Chicago,BMW 3 Series,70076.12
Michael Smith,BMW1017,Hendrick Automotive,Houston,BMW X7,78103.94
Alex Taylor,BMW4742,Group 1 Automotive,Philadelphia,BMW 7 Series,36132.13
Chris Taylor,BMW4068,Penske Automotive,Dallas,BMW X1,79042.47
Emily Jones,BMW9792,Group 1 Automotive,San Diego,BMW X7,50014.6
Alex Smith,BMW1624,AutoNation,San Diego,BMW X3,78640.7
John Moore,BMW1908,Lithia Motors,Chicago,BMW Z4,36873.14
Michael Moore,BMW8673,Group 1 Automotive,Los Angeles,BMW X5,86170.81
Alex Wilson,BMW9675,Lithia Motors,Philadelphia,BMW X7,64622.69
David Jones,BMW6224,Sonic Automotive,Phoenix,BMW X7,73419.32
Emily Moore,BMW8826,Group 1 Automotive,Los Angeles,BMW 3 Series,72705.3
Michael Miller,BMW5181,CarMax,Philadelphia,BMW 7 Series,35052.9
Jane Taylor,BMW8161,Hendrick Automotive,Los Angeles,BMW X1,89621.84
Jane Davis,BMW7042,AutoNation,Houston,BMW 5 Series,69774.26
Jane Wilson,BMW2697,AutoNation,San Antonio,BMW 5 Series,56038.04
Alex Johnson,BMW3711,Group 1 Automotive,Los Angeles,BMW X7,95357.78
Sarah Miller,BMW1524,Group 1 Automotive,Houston,BMW X7,91115.72
Jane Johnson,BMW4027,Hendrick Automotive,San Diego,BMW X7,78775.93
Laura Jones,BMW9541,Sonic Automotive,Philadelphia,BMW X7,79083.14
Jane Johnson,BMW5195,Penske Automotive,Chicago,BMW Z4,63517.74
Laura Jones,BMW4385,Hendrick Automotive,San Jose,BMW 3 Series,98142.93
Emily Brown,BMW6611,Hendrick Automotive,New York,BMW X7,75387.47
Alex Davis,BMW7452,CarMax,San Antonio,BMW Z4,83247.2
John Taylor,BMW6424,CarMax,New York,BMW Z4,51450.52
Katie Smith,BMW1459,AutoNation,New York,BMW 3 Series,74351.72
David Jones,BMW5647,Sonic Automotive,Philadelphia,BMW X5,51677.63
Jane Moore,BMW6738,Lithia Motors,Chicago,BMW X5,95237.6
Alex Moore,BMW6915,CarMax,Dallas,BMW 3 Series,81730.36
Jane Wilson,BMW8373,AutoNation,Phoenix,BMW 3 Series,86273.82
Emily Taylor,BMW3533,Penske Automotive,New York,BMW X3,82714.88
Katie Wilson,BMW2802,Penske Automotive,Los Angeles,BMW X3,45712.0
Michael Johnson,BMW7234,AutoNation,San Jose,BMW Z4,67311.69
David Williams,BMW2842,Lithia Motors,Philadelphia,BMW X7,85133.28
Jane Brown,BMW4135,Sonic Automotive,Phoenix,BMW X1,78850.8
Emily Taylor,BMW5542,Penske Automotive,New York,BMW X7,93284.24
Katie Davis,BMW8738,CarMax,San Diego,BMW Z4,66877.9
David Miller,BMW6011,Hendrick Automotive,New York,BMW X5,96835.22
Jane Johnson,BMW6217,Sonic Automotive,Phoenix,BMW 7 Series,64847.37
Emily Taylor,BMW8213,Group 1 Automotive,Houston,BMW X3,65347.41
Emily Davis,BMW8912,Sonic Automotive,New York,BMW Z4,79216.58
Katie Moore,BMW7006,Penske Automotive,San Diego,BMW 7 Series,58488.45
Emily Taylor,BMW8229,Penske Automotive,San Diego,BMW Z4,85640.38
Michael Williams,BMW9409,AutoNation,Dallas,BMW 5 Series,50305.37
Emily Taylor,BMW1057,Penske Automotive,New York,BMW 7 Series,79004.55
Alex Moore,BMW1001,Penske Automotive,San Antonio,BMW X1,67539.72
Chris Jones,BMW4971,AutoNation,San Antonio,BMW X1,97218.99
Emily Wilson,BMW7186,Group 1 Automotive,Chicago,BMW 3 Series,97021.17
Katie Williams,BMW1796,Group 1 Automotive,Houston,BMW X1,89320.73
Laura Brown,BMW6321,Penske Automotive,Houston,BMW Z4,94579.31
Laura Brown,BMW3026,Lithia Motors,San Antonio,BMW X5,89158.28
David Miller,BMW2891,Group 1 Automotive,San Diego,BMW X7,51070.54
Alex Brown,BMW6530,Group 1 Automotive,Philadelphia,BMW X7,89356.94
John Miller,BMW3412,Penske Automotive,Philadelphia,BMW X5,42160.4
David Miller,BMW9133,Lithia Motors,San Jose,BMW 5 Series,51598.32
David Wilson,BMW3065,Penske Automotive,Los Angeles,BMW X3,68284.28
Emily Smith,BMW7964,Lithia Motors,Los Angeles,BMW X5,62788.55
John Wilson,BMW3395,AutoNation,Chicago,BMW X7,54007.31
David Wilson,BMW6966,Group 1 Automotive,Chicago,BMW 3 Series,42177.74
Jane Davis,BMW6817,Hendrick Automotive,Chicago,BMW 5 Series,49550.77
Emily Smith,BMW6668,Penske Automotive,San Antonio,BMW Z4,57876.07
Laura Wilson,BMW4083,Group 1 Automotive,Phoenix,BMW 5 Series,55509.94
Laura Davis,BMW3580,Group 1 Automotive,Dallas,BMW Z4,62879.86
Laura Moore,BMW2848,CarMax,Houston,BMW X5,48703.03
Laura Miller,BMW6344,CarMax,Dallas,BMW X5,42286.11
David Williams,BMW3565,Penske Automotive,New York,BMW X1,92273.51
John Brown,BMW6389,Hendrick Automotive,San Diego,BMW 5 Series,93536.76
Laura Brown,BMW1545,CarMax,San Diego,BMW X3,96741.07
John Williams,BMW5414,Sonic Automotive,New York,BMW 7 Series,45972.81
John Wilson,BMW1771,Penske Automotive,New York,BMW 5 Series,83317.14
Chris Taylor,BMW2109,Sonic Automotive,San Jose,BMW 5 Series,80636.43
David Davis,BMW4583,Sonic Automotive,Phoenix,BMW 3 Series,95904.03
David Taylor,BMW8707,Lithia Motors,Chicago,BMW X3,98136.32
Michael Williams,BMW3507,Group 1 Automotive,New York,BMW X5,99669.14
Chris Moore,BMW8665,Penske Automotive,Philadelphia,BMW X5,44033.64
Katie Davis,BMW3474,Penske Automotive,Phoenix,BMW 5 Series,91480.95
Chris Johnson,BMW7771,Lithia Motors,Los Angeles,BMW 5 Series,37143.33
Laura Jones,BMW6926,Lithia Motors,San Jose,BMW X5,79202.86
Jane Brown,BMW5555,Lithia Motors,San Antonio,BMW 3 Series,45789.22
Alex Miller,BMW5288,Group 1 Automotive,Houston,BMW Z4,68638.54
Emily Williams,BMW8211,CarMax,San Diego,BMW Z4,94646.43
Michael Smith,BMW5411,AutoNation,San Jose,BMW X1,48430.01
Alex Wilson,BMW7045,Hendrick Automotive,San Antonio,BMW Z4,50129.71
Alex Williams,BMW3133,Hendrick Automotive,Phoenix,BMW 3 Series,76787.04
Michael Davis,BMW2940,Lithia Motors,Dallas,BMW X5,65465.13
Chris Smith,BMW1341,CarMax,Philadelphia,BMW Z4,53247.65
John Wilson,BMW7074,Hendrick Automotive,San Antonio,BMW Z4,65421.98
Katie Davis,BMW7639,Lithia Motors,Dallas,BMW 7 Series,61647.56
Sarah Jones,BMW9081,Lithia Motors,Chicago,BMW Z4,45726.88
Jane Johnson,BMW2492,Group 1 Automotive,Philadelphia,BMW Z4,67735.52
Laura Taylor,BMW9110,Lithia Motors,San Antonio,BMW 7 Series,97096.95
Laura Davis,BMW1213,Sonic Automotive,Chicago,BMW 5 Series,35435.84
Alex Taylor,BMW8368,Hendrick Automotive,Dallas,BMW X3,75749.91
Chris Johnson,BMW5876,Hendrick Automotive,San Diego,BMW 3 Series,42804.03
Michael Wilson,BMW9683,Lithia Motors,Phoenix,BMW X1,83784.91
David Miller,BMW6981,AutoNation,Houston,BMW Z4,67555.03
Sarah Jones,BMW1190,AutoNation,San Diego,BMW X1,43385.46
Jane Williams,BMW2839,Lithia Motors,Philadelphia,BMW X5,55283.86
David Davis,BMW8633,Penske Automotive,Los Angeles,BMW X1,76798.8
John Miller,BMW5077,Hendrick Automotive,San Antonio,BMW X3,85812.44
Laura Miller,BMW4300,CarMax,Dallas,BMW X7,40231.14
Katie Miller,BMW3220,AutoNation,Dallas,BMW X5,42794.47
Michael Miller,BMW6616,Sonic Automotive,Philadelphia,BMW 7 Series,81104.98
Katie Taylor,BMW3388,Group 1 Automotive,Chicago,BMW 7 Series,64652.0
John Smith,BMW5836,Hendrick Automotive,Chicago,BMW X7,44632.21
Laura Brown,BMW2968,AutoNation,Phoenix,BMW Z4,90027.09
Sarah Miller,BMW6327,Sonic Automotive,Phoenix,BMW X1,59528.64
Laura Taylor,BMW3908,Group 1 Automotive,San Diego,BMW 5 Series,68718.81
Jane Moore,BMW6456,Sonic Automotive,Houston,BMW X3,62911.87
Laura Smith,BMW4877,Hendrick Automotive,San Diego,BMW X7,37070.5
Katie Taylor,BMW4588,AutoNation,New York,BMW X3,62466.2
Alex Miller,BMW1897,Group 1 Automotive,San Antonio,BMW X7,60791.8
Emily Johnson,BMW1070,Lithia Motors,Phoenix,BMW X1,78475.67
David Miller,BMW4409,Sonic Automotive,Philadelphia,BMW X5,62996.96
Laura Davis,BMW7907,Group 1 Automotive,Los Angeles,BMW X1,92353.7
Jane Miller,BMW9612,AutoNation,Dallas,BMW X3,99246.91
Michael Miller,BMW6264,Penske Automotive,Phoenix,BMW Z4,90846.4
Jane Moore,BMW4893,CarMax,San Jose,BMW 5 Series,41824.75
Laura Brown,BMW5307,AutoNation,San Diego,BMW 3 Series,91815.84
Chris Moore,BMW4131,Lithia Motors,San Diego,BMW X1,98364.92
Alex Wilson,BMW4431,AutoNation,Chicago,BMW 3 Series,55084.72
Chris Smith,BMW3627,Hendrick Automotive,San Jose,BMW 5 Series,78957.96
John Davis,BMW2490,Sonic Automotive,San Antonio,BMW X1,73196.31
Jane Brown,BMW7722,AutoNation,Los Angeles,BMW 5 Series,73400.14
Emily Brown,BMW8279,CarMax,Chicago,BMW 3 Series,49078.53
Michael Brown,BMW5424,AutoNation,Philadelphia,BMW X1,61356.44
Chris Miller,BMW2676,AutoNation,San Jose,BMW X3,45771.19
Laura Jones,BMW4029,Sonic Automotive,Los Angeles,BMW X7,39436.1
David Jones,BMW6695,AutoNation,Los Angeles,BMW Z4,88145.4
Alex Taylor,BMW5775,Lithia Motors,New York,BMW 3 Series,93642.11
Chris Moore,BMW1144,Lithia Motors,Chicago,BMW X5,61427.47
Michael Jones,BMW6022,AutoNation,New York,BMW 3 Series,68048.65
Emily Johnson,BMW2407,Lithia Motors,San Diego,BMW X7,47051.55
Emily Jones,BMW2177,CarMax,San Jose,BMW X7,47018.42
Alex Johnson,BMW6562,Lithia Motors,Philadelphia,BMW 7 Series,59053.67
David Wilson,BMW8715,Group 1 Automotive,New York,BMW 3 Series,68769.58
Emily Taylor,BMW2168,Penske Automotive,New York,BMW X1,67352.26
Michael Jones,BMW4136,AutoNation,San Jose,BMW 7 Series,94394.19
Alex Wilson,BMW3124,CarMax,San Jose,BMW 3 Series,40551.51
Alex Williams,BMW1104,Penske Automotive,Dallas,BMW X1,48405.16
Michael Johnson,BMW4549,AutoNation,Chicago,BMW 7 Series,38905.12
Jane Moore,BMW5785,Penske Automotive,San Jose,BMW Z4,80148.56
Katie Davis,BMW7944,Sonic Automotive,Dallas,BMW 7 Series,48961.0
Emily Davis,BMW3894,AutoNation,Los Angeles,BMW X1,67148.37
David Wilson,BMW9792,Lithia Motors,Philadelphia,BMW 3 Series,47619.59
Chris Brown,BMW7298,Group 1 Automotive,New York,BMW 5 Series,63526.7
Emily Johnson,BMW2865,Lithia Motors,Philadelphia,BMW 5 Series,40491.11
Emily Williams,BMW6750,Lithia Motors,Houston,BMW X5,56762.13
David Williams,BMW7627,Hendrick Automotive,Philadelphia,BMW 7 Series,90743.29
John Davis,BMW4003,Lithia Motors,Philadelphia,BMW 5 Series,35203.63
Chris Williams,BMW6320,Sonic Automotive,Phoenix,BMW 5 Series,55015.45
Katie Davis,BMW2303,Lithia Motors,Dallas,BMW X5,84150.46
Laura Williams,BMW7173,Penske Automotive,Dallas,BMW 5 Series,69394.27
John Smith,BMW4641,Group 1 Automotive,Dallas,BMW Z4,62036.33
Katie Brown,BMW5025,AutoNation,Los Angeles,BMW X7,81001.97
Emily Moore,BMW5594,Group 1 Automotive,Chicago,BMW 3 Series,48379.12
Laura Davis,BMW4486,Group 1 Automotive,San Jose,BMW 5 Series,57885.47
Laura Brown,BMW3309,Group 1 Automotive,New York,BMW X1,40395.17
David Brown,BMW7786,AutoNation,Dallas,BMW 5 Series,46991.84
Katie Davis,BMW6394,AutoNation,San Diego,BMW X5,51457.74
Emily Johnson,BMW6398,CarMax,San Antonio,BMW 3 Series,65801.92
John Johnson,BMW7599,Lithia Motors,San Diego,BMW 7 Series,70653.12
Chris Smith,BMW4967,Penske Automotive,Los Angeles,BMW Z4,52718.5
Alex Smith,BMW8521,Lithia Motors,Dallas,BMW X3,77528.06
Katie Moore,BMW8947,Penske Automotive,San Jose,BMW X5,89454.31
Alex Miller,BMW1114,Penske Automotive,Houston,BMW X3,61034.41
Michael Moore,BMW6938,Sonic Automotive,Los Angeles,BMW 5 Series,48367.27
Sarah Johnson,BMW6042,Group 1 Automotive,San Diego,BMW X1,59190.79
Sarah Miller,BMW4338,AutoNation,Houston,BMW 5 Series,85065.32
David Wilson,BMW5153,Sonic Automotive,Dallas,BMW X1,66402.84
Sarah Davis,BMW4565,Penske Automotive,Dallas,BMW X1,88516.09
Alex Brown,BMW6946,Hendrick Automotive,San Jose,BMW Z4,53246.77
John Johnson,BMW9657,AutoNation,San Antonio,BMW X1,77299.15
Emily Davis,BMW9711,Lithia Motors,Dallas,BMW 7 Series,86313.19
Sarah Smith,BMW2059,Penske Automotive,San Antonio,BMW X7,73101.83
Emily Brown,BMW7977,Hendrick Automotive,Houston,BMW X1,86802.16
Emily Moore,BMW2005,CarMax,Phoenix,BMW 3 Series,72095.83
Emily Jones,BMW5217,Hendrick Automotive,San Antonio,BMW 7 Series,66537.17
Laura Taylor,BMW5599,Lithia Motors,New York,BMW X7,35922.76
Michael Davis,BMW6337,CarMax,San Antonio,BMW X3,47761.74
Jane Jones,BMW3925,AutoNation,Phoenix,BMW 3 Series,57401.72
Michael Smith,BMW9214,Penske Automotive,San Antonio,BMW X3,76594.25
Michael Johnson,BMW9585,Sonic Automotive,New York,BMW Z4,85679.3
Laura Wilson,BMW8028,Lithia Motors,New York,BMW 7 Series,90301.59
Jane Johnson,BMW7839,Sonic Automotive,Philadelphia,BMW 5 Series,64324.61
David Brown,BMW1534,Hendrick Automotive,Los Angeles,BMW X3,69720.55
Sarah Johnson,BMW4480,Group 1 Automotive,Phoenix,BMW 3 Series,66527.81
Emily Wilson,BMW7224,CarMax,Phoenix,BMW X3,87233.33
Alex Jones,BMW4190,CarMax,Chicago,BMW X3,49699.75
Emily Johnson,BMW1840,Sonic Automotive,Philadelphia,BMW Z4,75743.87
Jane Davis,BMW1206,CarMax,San Antonio,BMW X5,65841.78
Sarah Williams,BMW3273,Penske Automotive,Houston,BMW X7,76028.59
Laura Miller,BMW2468,Penske Automotive,Phoenix,BMW 7 Series,52002.15
Emily Moore,BMW9272,Hendrick Automotive,San Antonio,BMW X5,56422.34
Laura Wilson,BMW1361,AutoNation,Los Angeles,BMW X1,77593.61
Katie Brown,BMW9972,Penske Automotive,Chicago,BMW 7 Series,69719.47
Emily Johnson,BMW3365,Sonic Automotive,Houston,BMW 3 Series,43951.35
Laura Wilson,BMW4689,Lithia Motors,San Diego,BMW 5 Series,71904.91
Alex Williams,BMW2136,AutoNation,San Antonio,BMW Z4,37590.64
Katie Taylor,BMW8429,CarMax,New York,BMW 7 Series,57997.11
Emily Taylor,BMW7657,AutoNation,New York,BMW X5,72297.79
Alex Miller,BMW3701,CarMax,Chicago,BMW 7 Series,94084.2
David Williams,BMW3295,Penske Automotive,Dallas,BMW X3,72087.71
Laura Brown,BMW7481,Group 1 Automotive,Philadelphia,BMW X3,89065.8
John Moore,BMW2386,Group 1 Automotive,Phoenix,BMW X7,63608.8
Sarah Miller,BMW7326,Hendrick Automotive,Los Angeles,BMW 3 Series,80376.12
Laura Jones,BMW3002,Lithia Motors,San Jose,BMW X7,77647.48
David Williams,BMW1341,Penske Automotive,San Jose,BMW X1,83447.21
Michael Miller,BMW6496,Hendrick Automotive,San Jose,BMW X3,99668.81
Jane Johnson,BMW1151,Penske Automotive,Phoenix,BMW 5 Series,49413.7
Emily Jones,BMW1256,Sonic Automotive,New York,BMW X7,38886.77
David Wilson,BMW6022,Group 1 Automotive,Dallas,BMW X5,80270.56
Alex Jones,BMW4717,Hendrick Automotive,Houston,BMW 7 Series,87974.43
Sarah Smith,BMW6461,CarMax,San Diego,BMW X3,73684.05
Katie Miller,BMW3159,CarMax,Dallas,BMW 5 Series,72003.39
John Smith,BMW8614,Sonic Automotive,Houston,BMW X7,82503.74
Laura Davis,BMW9334,AutoNation,San Jose,BMW 5 Series,35404.94
Laura Brown,BMW4234,AutoNation,San Jose,BMW X3,82148.71
Laura Smith,BMW2841,AutoNation,Phoenix,BMW X3,96011.0
Jane Williams,BMW3437,Sonic Automotive,Chicago,BMW X7,91756.09
Laura Brown,BMW8071,Penske Automotive,New York,BMW X3,98558.36
David Taylor,BMW3764,Group 1 Automotive,New York,BMW 5 Series,96262.05
Katie Johnson,BMW6022,AutoNation,San Diego,BMW X7,54081.41
Sarah Wilson,BMW1178,CarMax,New York,BMW X3,73018.03
Michael Davis,BMW7615,Group 1 Automotive,New York,BMW X1,61249.85
Jane Wilson,BMW4760,Sonic Automotive,Houston,BMW 7 Series,88829.62
Chris Jones,BMW5364,Group 1 Automotive,San Diego,BMW X7,97735.87
John Moore,BMW8498,Penske Automotive,New York,BMW X7,52611.37
John Taylor,BMW9974,AutoNation,San Jose,BMW 3 Series,42614.9
Katie Taylor,BMW1021,Lithia Motors,Philadelphia,BMW X5,65347.73
Sarah Taylor,BMW3788,Group 1 Automotive,Houston,BMW X3,54790.96
Emily Miller,BMW8338,Sonic Automotive,Phoenix,BMW Z4,88248.96
Michael Jones,BMW9967,Hendrick Automotive,Philadelphia,BMW Z4,65603.07
Katie Jones,BMW6498,AutoNation,Phoenix,BMW 7 Series,62892.6
Katie Wilson,BMW3592,Group 1 Automotive,Dallas,BMW 5 Series,53039.23
Chris Johnson,BMW5774,CarMax,Phoenix,BMW 3 Series,68310.91
David Johnson,BMW8673,Sonic Automotive,San Antonio,BMW X7,74376.71
David Miller,BMW1471,AutoNation,New York,BMW X5,39283.55
David Jones,BMW8607,AutoNation,Phoenix,BMW X5,37584.8
Jane Moore,BMW1291,Sonic Automotive,Dallas,BMW X1,84355.29
John Miller,BMW5414,Penske Automotive,San Antonio,BMW 3 Series,69987.06
Jane Smith,BMW8140,Penske Automotive,Phoenix,BMW X3,83873.5
Alex Moore,BMW7090,Group 1 Automotive,San Antonio,BMW Z4,55048.08
Laura Johnson,BMW8667,Sonic Automotive,Los Angeles,BMW 7 Series,94472.08
Alex Taylor,BMW3072,Sonic Automotive,San Jose,BMW X1,68891.76
David Miller,BMW2114,Hendrick Automotive,Phoenix,BMW X5,89974.7
Emily Brown,BMW1470,Hendrick Automotive,Dallas,BMW Z4,91880.99
Emily Smith,BMW3684,CarMax,San Antonio,BMW 3 Series,52889.04
Sarah Johnson,BMW2609,Group 1 Automotive,New York,BMW X5,44146.23
Alex Wilson,BMW8024,Group 1 Automotive,Houston,BMW X7,83742.24
David Miller,BMW6825,Group 1 Automotive,Dallas,BMW Z4,86664.44
Katie Taylor,BMW8080,Penske Automotive,Dallas,BMW 5 Series,93632.48
Alex Taylor,BMW2414,Lithia Motors,New York,BMW Z4,96414.21
Michael Williams,BMW8830,CarMax,Chicago,BMW 5 Series,82822.78
Sarah Jones,BMW2944,AutoNation,Phoenix,BMW Z4,46320.02
Emily Johnson,BMW2388,Group 1 Automotive,Chicago,BMW 3 Series,78220.21
Michael Brown,BMW4044,AutoNation,San Jose,BMW 5 Series,41393.22
Laura Taylor,BMW7379,Penske Automotive,New York,BMW 7 Series,67142.02
Jane Williams,BMW9727,AutoNation,San Diego,BMW X7,95616.59
Sarah Jones,BMW2052,Lithia Motors,New York,BMW X1,56381.31
Michael Johnson,BMW3869,Group 1 Automotive,Dallas,BMW X1,86565.08
Laura Miller,BMW4441,Hendrick Automotive,San Jose,BMW X7,37740.59
Jane Brown,BMW9772,Sonic Automotive,Phoenix,BMW X7,46140.29
Emily Moore,BMW7189,Penske Automotive,New York,BMW X7,64569.59
Sarah Williams,BMW5631,Lithia Motors,Phoenix,BMW X7,85802.53
David Miller,BMW4746,Sonic Automotive,Chicago,BMW Z4,96923.31
Chris Taylor,BMW8989,Hendrick Automotive,San Jose,BMW 7 Series,66177.8
Sarah Smith,BMW6688,Sonic Automotive,Philadelphia,BMW Z4,84409.54
John Taylor,BMW7982,CarMax,New York,BMW X7,45972.39
Emily Williams,BMW1512,CarMax,New York,BMW X3,98061.6
Michael Williams,BMW9327,Sonic Automotive,San Jose,BMW 3 Series,70214.31
John Brown,BMW8410,CarMax,Los Angeles,BMW Z4,90328.68
Katie Taylor,BMW7387,Group 1 Automotive,San Jose,BMW Z4,70550.89
Jane Williams,BMW5388,Sonic Automotive,Phoenix,BMW 7 Series,80797.4
Jane Smith,BMW4078,Penske Automotive,Houston,BMW X5,39090.46
Laura Wilson,BMW6150,Sonic Automotive,New York,BMW X3,76796.03
Emily Smith,BMW7073,Hendrick Automotive,San Diego,BMW X7,42742.13
Emily Taylor,BMW3659,Penske Automotive,San Antonio,BMW 7 Series,58375.21
Emily Brown,BMW8443,Group 1 Automotive,Houston,BMW 3 Series,92325.15
Michael Davis,BMW6953,AutoNation,San Diego,BMW 5 Series,81082.98
David Miller,BMW4366,Sonic Automotive,San Diego,BMW 3 Series,97016.49
Katie Smith,BMW8945,CarMax,New York,BMW 3 Series,73063.29
David Johnson,BMW7310,Lithia Motors,Phoenix,BMW Z4,58219.67
Jane Moore,BMW9730,CarMax,New York,BMW 7 Series,77456.75
Alex Brown,BMW2389,AutoNation,Phoenix,BMW X5,51473.24
Emily Brown,BMW4348,CarMax,San Antonio,BMW X3,35487.04
David Williams,BMW9991,Sonic Automotive,Dallas,BMW Z4,58767.27
Alex Wilson,BMW9024,Lithia Motors,Philadelphia,BMW 3 Series,47584.78
Chris Johnson,BMW4021,Group 1 Automotive,Phoenix,BMW X1,90893.66
Katie Moore,BMW2531,Penske Automotive,Chicago,BMW 5 Series,41906.37
Michael Williams,BMW9231,Group 1 Automotive,Philadelphia,BMW X7,91993.04
Michael Wilson,BMW8399,Lithia Motors,San Jose,BMW 5 Series,71032.96
Alex Jones,BMW1475,Penske Automotive,San Jose,BMW X5,99833.71
Chris Taylor,BMW2115,Sonic Automotive,New York,BMW 5 Series,53351.16
Michael Taylor,BMW6146,Group 1 Automotive,Houston,BMW Z4,88987.57
John Johnson,BMW6400,CarMax,San Antonio,BMW X5,67303.5
Katie Miller,BMW6959,Sonic Automotive,Houston,BMW Z4,66480.09
Sarah Jones,BMW7253,Sonic Automotive,San Jose,BMW X3,73717.1
Emily Davis,BMW4117,AutoNation,San Jose,BMW X1,42604.81
Emily Moore,BMW8592,Lithia Motors,San Antonio,BMW 7 Series,53596.63
Michael Brown,BMW7993,Lithia Motors,Philadelphia,BMW X3,53443.16
Chris Brown,BMW8687,Penske Automotive,Houston,BMW 7 Series,36231.32
Laura Brown,BMW7076,Lithia Motors,Chicago,BMW 7 Series,72634.07
Michael Williams,BMW4035,Lithia Motors,New York,BMW X7,42468.07
Emily Brown,BMW8486,AutoNation,New York,BMW 5 Series,39747.24
Michael Smith,BMW4642,AutoNation,San Jose,BMW Z4,53427.31
Emily Miller,BMW9752,Group 1 Automotive,San Antonio,BMW 5 Series,88452.32
Michael Wilson,BMW4872,Hendrick Automotive,San Jose,BMW 5 Series,86210.74
Alex Moore,BMW2405,Sonic Automotive,Dallas,BMW 5 Series,91522.33
Sarah Wilson,BMW2150,Penske Automotive,Los Angeles,BMW X7,60899.33
Jane Davis,BMW1211,Sonic Automotive,San Antonio,BMW X3,58465.72
John Wilson,BMW8571,AutoNation,Dallas,BMW 5 Series,83312.57
Laura Miller,BMW5125,CarMax,San Diego,BMW X7,93429.19
John Davis,BMW4001,Lithia Motors,San Jose,BMW 5 Series,42048.18
Chris Brown,BMW1786,CarMax,Philadelphia,BMW X1,44464.58
Jane Taylor,BMW6979,Penske Automotive,Philadelphia,BMW X7,75261.73
Jane Brown,BMW7309,Penske Automotive,Phoenix,BMW 5 Series,48320.82
Alex Johnson,BMW9367,CarMax,Chicago,BMW X1,48061.34
Laura Moore,BMW9756,CarMax,Houston,BMW 3 Series,81082.03
Jane Taylor,BMW1283,CarMax,Phoenix,BMW 5 Series,85780.23
Katie Moore,BMW9884,Lithia Motors,Los Angeles,BMW 5 Series,48507.18
David Miller,BMW1051,Group 1 Automotive,Phoenix,BMW 3 Series,64880.09
Laura Smith,BMW6814,Lithia Motors,San Diego,BMW 7 Series,81200.1
David Smith,BMW6028,CarMax,Chicago,BMW 5 Series,61660.8
Sarah Johnson,BMW6970,Group 1 Automotive,New York,BMW X7,69953.17
John Wilson,BMW6737,Lithia Motors,Los Angeles,BMW 7 Series,76379.91
Chris Davis,BMW6864,Penske Automotive,New York,BMW X5,63447.55
Alex Brown,BMW4391,Lithia Motors,Dallas,BMW X5,67227.6
Emily Davis,BMW7152,AutoNation,Phoenix,BMW 3 Series,67133.55
John Wilson,BMW1089,Sonic Automotive,San Diego,BMW 5 Series,36372.09
Katie Brown,BMW8176,Hendrick Automotive,Philadelphia,BMW X5,50948.73
David Brown,BMW3835,CarMax,Philadelphia,BMW X5,77509.35
David Wilson,BMW3230,AutoNation,Phoenix,BMW Z4,51872.53
Sarah Smith,BMW5710,Hendrick Automotive,Houston,BMW X1,64509.91
David Williams,BMW7514,CarMax,San Antonio,BMW X3,61777.97
John Davis,BMW3441,Hendrick Automotive,New York,BMW X5,68910.02
Katie Jones,BMW1025,Group 1 Automotive,San Diego,BMW Z4,49917.35
Chris Williams,BMW2481,Sonic Automotive,Houston,BMW 7 Series,86511.5
Alex Jones,BMW5699,Hendrick Automotive,Phoenix,BMW 5 Series,67511.11
Michael Wilson,BMW8710,CarMax,San Jose,BMW 7 Series,55459.23
Emily Jones,BMW6143,Hendrick Automotive,San Jose,BMW X5,72397.29
